1560 ,193 ,179 ,115 ,5 ,0 ,0 
2601 ,321 ,298 ,192 ,9 ,0 ,0 
4334 ,535 ,497 ,320 ,15 ,0 ,1 
7224 ,892 ,829 ,533 ,25 ,0 ,1 
12040 ,1486 ,1381 ,889 ,42 ,0 ,2 
20067 ,2476 ,2301 ,1481 ,70 ,0 ,3 
33445 ,4127 ,3836 ,2468 ,116 ,0 ,4 
55741 ,6879 ,6393 ,4114 ,194 ,0 ,7 
